"coefficient","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26"
"A1",-0.00133855918671418,-0.00249476624380686,0.00347470100910267,0.0442302645179897,0.0202467446587593,0.0240955464055797,0.0681139874665728,0.00591218568117394,-0.148910605934644,-0.0715067606048797,-0.146752121349987,0.000496825218387895,0.0911399107799671,0.439373680640767,-0.252778278223765,-0.163204161302892,-0.123845969026076,0.19981450238464,-0.110212443322764,0.04908825597573,0.0458886852992366,-0.00489028844734689,-0.0301460087047398,-0.0192640213335869,-0.133026893589354,0.0946016816911481
"A2",-0.00118588351781566,0.00304032731268499,0.00169375603503089,0.00419480171843846,0.00365001706814725,0.000953815051884499,-0.000104571677598173,0.0025992239305061,-0.00900686376478242,-0.00464323434148323,-0.00413760665077567,0.00110230740894363,0.00135214670957492,0.0140642596081745,5.80829370239613e-05,-0.00484469897707187,-0.00385977884070678,0.0131384628702862,-0.000949617053769753,-0.0109119857320256,0.000813265832411547,0.0092488503847492,0.0184903223663425,-0.00224180490138361,0.0406713453392333,0.186771568268307
"A3",-0.00167547047788386,0.00231760732247566,-0.00454291989699824,0.00106102690340059,0.000547824895449391,0.00207621279265241,0.0056054891231048,0.00595119704170105,-0.019487746414939,-0.00515827312332485,-0.0123724339307892,0.00323351608223186,0.0110006916276862,0.0665311170976139,-0.0312308639241986,-0.0195500217152884,-0.00354463602210108,0.0320944424504206,-0.0129590769921548,-0.00884400416216012,-0.0151212183247,-0.00291497328428686,-0.0587868109501611,-0.0496702919774824,0.00411698797300115,0.0307333624325991
"A4",-0.00328185671554872,-0.00281924653431813,0.00326064124930713,0.00508707335439546,-0.0104389818743533,0.00175372709608873,-0.00346321785607735,-0.00128154578577112,-0.00697397761602545,-0.00725408676196265,-0.00723959781910921,-0.00596176893157129,-0.00183732994690597,0.00525466729844272,-0.000165847915293524,0.00421695425815017,-0.0114837520605826,0.00526701079351808,-0.00203067737282968,-0.0190274558857496,0.00113502640492237,0.0100626450070912,-0.0167132675950818,0.0266103220375667,-0.0458054569353204,0.249105497836113
"A5",0.000888872484254469,0.000876953165276711,0.00246902999732543,-0.0115631258718489,-0.00237926426475762,0.00916098100245731,-0.00785615312509312,-0.00222537221777488,0.0110415972336157,0.00801287120908642,0.0176406583136317,-0.00596002822420201,0.00031600422579362,-0.0406580944237368,0.0211516887013115,0.00605516956165812,0.00359522238348359,-0.0298045588994347,-0.00375360918348612,-0.0113275269872172,-0.00731902006453556,0.0524867848545565,0.0138614021075109,-0.0180309665846362,-0.063278617734178,-0.0155833273351496
"A6",0.000489746214639524,-0.00238215762040887,-0.00542876664194709,0.0057682374449939,0.003837389666344,-0.00161439413181597,0.0112635050311729,-0.00167368259044395,-0.00159258617479355,0.00683458657245916,-0.000390199416503849,-0.00543467387205472,-0.00313260512246434,0.00408879892046729,0.00411267745132688,0.00107906257464699,-0.00344897841675525,0.0124910704289135,-0.0116661675647647,0.0145813504477566,0.00801717692860307,-0.00926140430134569,-0.0109112931867002,0.0656585931826768,0.132469680729123,-0.0384378116490926
"A7",0.00069656211282945,-0.00342035213360326,0.00405968360659557,-0.00110325192731981,0.00372849694429734,-0.00893019908675302,0.000869856457075411,0.0015229151786131,0.000752132076877946,-0.0139562706438976,0.00265114414076286,-0.000983451816414911,0.0025941514374135,0.00274382382432828,0.00468145915621654,-0.00274628430372056,0.0204254018337379,-0.0109718545679113,-0.0034604815497303,0.0188546734958395,0.0264535291673614,-0.0354776710155044,0.00513176605299165,-0.0105998962684858,0.0106953232667043,0.0163453133685612
"A8",0.000678202716210158,0.000900686523669791,-0.00309513722418683,0.000481357099470206,0.00135584740014608,0.0035784825021355,-0.0117843662281309,0.001431520047741,0.0052733591342536,0.00893889727118946,-0.00828455087774386,0.0101004243167859,-0.0112139317726104,-0.0118408122186081,0.0147177111908605,0.00358858112213795,-0.00869370956024271,-0.0116730967873574,0.019403977175335,-0.00644612111157204,-0.00701697019117074,0.0116321978087037,0.0078179624266999,-0.0223809400334873,-0.0525704490950981,0.0373220773509762
"A9",0.00120334859418759,-0.000895613446708501,0.00085315713676371,-0.00157477209633906,0.00694949595966396,0.000174059664587528,0.00378932982350034,0.00119460523398097,-0.0080964431094073,-0.00556693945462173,-0.000694458577406882,-0.0069354364332204,-0.00635215004327302,0.0243847703466231,-0.0347906888828218,-0.00762390232651412,-0.00144483600307308,-0.000643549668179835,-0.00281039359613921,0.00634501282533397,0.0264845148293978,0.00592189291027517,-0.0038231505296822,0.034806840719252,-0.0197648091349297,-0.107169521047117
"A10",-0.0010475448737868,-0.000379441930948912,0.00146822507303146,0.000863751870996666,-0.00644497951998517,-0.00884994700039579,-0.00419187551020048,-0.0069254038834908,-0.00625701425835921,-0.00608308826560015,0.00238344405492516,-0.0147932981550627,0.0117548737081406,-0.0238109544675376,-0.00248426931081234,0.00207067957438056,0.00117280869708813,0.00278692463724148,0.00511340248666877,-0.0037970729876531,-0.00865394557606041,-0.046518097911246,-0.0379945322931105,0.0129315865694505,0.00988320085067207,-0.0149814294933625
