"PC","sdev","variance_pct"
"PC1",0.0202663641368078,50.9668880711579
"PC2",0.0127171573697049,20.0685745089051
"PC3",0.00884667757586355,9.71173520917129
"PC4",0.0072037242389516,6.43947695274082
"PC5",0.00578360224531351,4.15081396718492
"PC6",0.00540211379706635,3.62129488404021
"PC7",0.00367744243222107,1.67814004079582
"PC8",0.00336997914840209,1.40925914433095
"PC9",0.00238037799903437,0.703118118463344
"PC10",0.00178567425329894,0.395677092476303
"PC11",0.00138924008879654,0.239492020689688
"PC12",0.00122189171375775,0.185268622906199
"PC13",0.00105170814725602,0.137254600699131
"PC14",0.000859462450868902,0.0916621942026559
"PC15",0.000829478434146933,0.0853781288268614
"PC16",0.000602726958344068,0.0450793523088849
"PC17",0.000422048066094234,0.0221034600674837
"PC18",0.000366257285649852,0.0166459650763263
"PC19",0.000317264804880416,0.0124905116429397
"PC20",0.000275529580406004,0.0094204770481695
"PC21",0.000201199445823992,0.00502331016416442
"PC22",0.000154334899877597,0.00295572975222411
"PC23",0.000111182047442208,0.0015339308040558
"PC24",5.67353374730954e-05,0.000399432794816052
"PC25",5.03252379087589e-05,0.000314273749822317
"PC26",5.58012407090381e-18,3.86388457900585e-30
